Date,NO2GT
10-Mar-2004 00:00:00,122
11-Mar-2004 00:00:00,172
12-Mar-2004 00:00:00,170
13-Mar-2004 00:00:00,165
14-Mar-2004 00:00:00,173
15-Mar-2004 00:00:00,187
16-Mar-2004 00:00:00,177
17-Mar-2004 00:00:00,194
18-Mar-2004 00:00:00,176
19-Mar-2004 00:00:00,166
20-Mar-2004 00:00:00,139
21-Mar-2004 00:00:00,144
22-Mar-2004 00:00:00,146
23-Mar-2004 00:00:00,132
23-Mar-2004 00:00:00,132
23-Mar-2004 00:00:00,132
24-Mar-2004 00:00:00,136
25-Mar-2004 00:00:00,141
26-Mar-2004 00:00:00,121
27-Mar-2004 00:00:00,133
28-Mar-2004 00:00:00,103
29-Mar-2004 00:00:00,134
30-Mar-2004 00:00:00,159
31-Mar-2004 00:00:00,125
01-Apr-2004 00:00:00,164
02-Apr-2004 00:00:00,168
03-Apr-2004 00:00:00,106
03-Apr-2004 00:00:00,106
05-Apr-2004 00:00:00,132
06-Apr-2004 00:00:00,134
07-Apr-2004 00:00:00,129
08-Apr-2004 00:00:00,171
09-Apr-2004 00:00:00,139
10-Apr-2004 00:00:00,133
11-Apr-2004 00:00:00,118
12-Apr-2004 00:00:00,93
12-Apr-2004 00:00:00,93
13-Apr-2004 00:00:00,144
14-Apr-2004 00:00:00,119
15-Apr-2004 00:00:00,158
16-Apr-2004 00:00:00,149
16-Apr-2004 00:00:00,149
17-Apr-2004 00:00:00,100
23-Apr-2004 00:00:00,196
24-Apr-2004 00:00:00,134
25-Apr-2004 00:00:00,101
26-Apr-2004 00:00:00,119
27-Apr-2004 00:00:00,137
28-Apr-2004 00:00:00,162
29-Apr-2004 00:00:00,146
30-Apr-2004 00:00:00,135
01-May-2004 00:00:00,131
02-May-2004 00:00:00,123
03-May-2004 00:00:00,130
04-May-2004 00:00:00,132
05-May-2004 00:00:00,125
06-May-2004 00:00:00,139
07-May-2004 00:00:00,133
08-May-2004 00:00:00,85
10-May-2004 00:00:00,135
11-May-2004 00:00:00,163
12-May-2004 00:00:00,131
13-May-2004 00:00:00,148
13-May-2004 00:00:00,148
14-May-2004 00:00:00,164
15-May-2004 00:00:00,149
16-May-2004 00:00:00,125
17-May-2004 00:00:00,142
18-May-2004 00:00:00,162
19-May-2004 00:00:00,165
20-May-2004 00:00:00,179
21-May-2004 00:00:00,155
22-May-2004 00:00:00,126
23-May-2004 00:00:00,114
24-May-2004 00:00:00,114
25-May-2004 00:00:00,155
26-May-2004 00:00:00,136
28-May-2004 00:00:00,119
29-May-2004 00:00:00,119
30-May-2004 00:00:00,128
31-May-2004 00:00:00,161
01-Jun-2004 00:00:00,109
02-Jun-2004 00:00:00,95
03-Jun-2004 00:00:00,108
05-Jun-2004 00:00:00,111
06-Jun-2004 00:00:00,98
07-Jun-2004 00:00:00,142
08-Jun-2004 00:00:00,183
09-Jun-2004 00:00:00,222
10-Jun-2004 00:00:00,211
11-Jun-2004 00:00:00,158
12-Jun-2004 00:00:00,113
13-Jun-2004 00:00:00,89
14-Jun-2004 00:00:00,103
15-Jun-2004 00:00:00,158
16-Jun-2004 00:00:00,142
17-Jun-2004 00:00:00,154
18-Jun-2004 00:00:00,180
18-Jun-2004 00:00:00,180
19-Jun-2004 00:00:00,113
20-Jun-2004 00:00:00,114
21-Jun-2004 00:00:00,147
22-Jun-2004 00:00:00,154
23-Jun-2004 00:00:00,166
24-Jun-2004 00:00:00,128
25-Jun-2004 00:00:00,151
26-Jun-2004 00:00:00,144
27-Jun-2004 00:00:00,137
28-Jun-2004 00:00:00,183
29-Jun-2004 00:00:00,202
30-Jun-2004 00:00:00,226
01-Jul-2004 00:00:00,179
02-Jul-2004 00:00:00,174
03-Jul-2004 00:00:00,131
04-Jul-2004 00:00:00,108
05-Jul-2004 00:00:00,203
06-Jul-2004 00:00:00,194
07-Jul-2004 00:00:00,233
08-Jul-2004 00:00:00,206
09-Jul-2004 00:00:00,180
10-Jul-2004 00:00:00,127
11-Jul-2004 00:00:00,136
12-Jul-2004 00:00:00,128
13-Jul-2004 00:00:00,173
14-Jul-2004 00:00:00,190
15-Jul-2004 00:00:00,198
16-Jul-2004 00:00:00,206
17-Jul-2004 00:00:00,138
18-Jul-2004 00:00:00,114
19-Jul-2004 00:00:00,200
20-Jul-2004 00:00:00,193
21-Jul-2004 00:00:00,194
22-Jul-2004 00:00:00,190
23-Jul-2004 00:00:00,156
24-Jul-2004 00:00:00,116
25-Jul-2004 00:00:00,110
26-Jul-2004 00:00:00,131
27-Jul-2004 00:00:00,128
